Time,Anomaly (deg C),Lower confidence limit (2.5%),Upper confidence limit (97.5%),Year,Color
1869-02,0.131316455,-0.17512126,0.929342,1869,#ffebeb
1869-03,-0.62602936,-1.3962748,-0.21709634,1869,#86c9f9
1869-04,-0.405699285,-0.97545505,-0.064854056,1869,#409fe2
1869-05,-0.3099707,-0.4868252,0.12986793,1869,#2b8dd3
1869-06,-0.3845138,-0.4530961,0.075382136,1869,#2b8dd3
1869-07,-0.41707024000000004,-0.43610755,0.10834879,1869,#409fe2
1869-08,-0.167939255,-0.21518393,0.32136708,1869,#1371b4
1869-09,-0.1716275235,-0.29235753,0.2145363,1869,#1371b4
1869-10,-0.29348238,-0.45415947,0.011531041,1869,#1d7ec3
1869-11,-0.281813225,-0.56170684,-0.018171122,1869,#1d7ec3
1869-12,-0.53658314,-1.0287249,-0.3202102,1869,#57adea
1870-01,-0.211066805,-0.607742,0.15824716,1870,#1371b4
1870-02,-0.45485407499999997,-1.0130143,-0.2019197,1870,#409fe2
1870-03,-0.4983347,-0.99688214,-0.108864576,1870,#57adea
1870-04,-0.33294046,-0.7114931,-0.069788225,1870,#2b8dd3
1870-05,-0.297744205,-0.38790286,0.21076882,1870,#1d7ec3
1870-06,-0.231235833,-0.29901788,0.19346514,1870,#1d7ec3
1870-07,-0.07335795,-0.15022472,0.30602756,1870,#04538c
1870-08,-0.25822742,-0.48574388,0.13470328,1870,#1d7ec3
1870-09,-0.202317195,-0.36572573,0.19792214,1870,#1371b4
1870-10,-0.44285797,-0.7136057,-0.086355016,1870,#409fe2
1870-11,-0.265821815,-0.49816293,0.09156826,1870,#1d7ec3
1870-12,-0.6663717849999999,-1.4355311,-0.65212256,1870,#86c9f9
1871-01,-0.55831133,-1.2963729,-0.38952306,1871,#6fbcf3
1871-02,-0.6721458950000001,-1.627407,-0.605191,1871,#86c9f9
1871-03,-0.170892345,-0.7650799,0.2987564,1871,#1371b4
1871-04,-0.221927655,-0.50561035,0.19760323,1871,#1371b4
1871-05,-0.362201715,-0.784263,-0.1142572,1871,#2b8dd3
1871-06,-0.28641549,-0.49057403,0.0110120345,1871,#1d7ec3
1871-07,-0.0824331665,-0.31263658,0.25652766,1871,#0a619f
1871-08,-0.32236676,-0.37660676,0.13401164,1871,#2b8dd3
1871-09,-0.36107232,-0.6020268,-0.055539384,1871,#2b8dd3
1871-10,-0.373275365,-0.48371688,0.0038888988,1871,#2b8dd3
1871-11,-0.52269676,-1.2148207,-0.5273931,1871,#57adea
1871-12,-0.489014175,-1.083145,-0.24970706,1871,#57adea
1872-01,-0.598788725,-1.2685808,-0.3827095,1872,#6fbcf3
1872-02,-0.62082126,-1.3328142,-0.3913586,1872,#86c9f9
1872-03,-0.52365933,-1.1276199,-0.059840154,1872,#57adea
1872-04,-0.385414795,-0.8184628,-0.048198532,1872,#409fe2
1872-05,-0.14151993999999998,-0.33707437,0.26734436,1872,#0a619f
1872-06,-0.279415545,-0.45237547,0.07045695,1872,#1d7ec3
1872-07,-0.14631679,-0.30186844,0.21677908,1872,#0a619f
1872-08,0.008637105000000006,-0.0617707,0.47839877,1872,#ffebeb
1872-09,-0.176482445,-0.27436367,0.22668922,1872,#1371b4
1872-10,-0.20351919499999999,-0.41358224,0.044194452,1872,#1371b4
1872-11,-0.322028545,-0.83322686,-0.26942945,1872,#2b8dd3
1872-12,-0.5479975,-1.1181765,-0.384244,1872,#6fbcf3
1873-01,-0.261650432,-0.8535011,-0.10808957,1873,#1d7ec3
1873-02,-0.282507185,-0.8827564,0.09627399,1873,#1d7ec3
1873-03,-0.40872379000000003,-0.99198484,-0.14047891,1873,#409fe2
1873-04,-0.480555285,-1.003308,-0.3710844,1873,#57adea
1873-05,-0.35092076,-0.7093503,-0.19992125,1873,#2b8dd3
1873-06,-0.320549115,-0.5082866,-0.07872732,1873,#2b8dd3
1873-07,-0.175701108,-0.37914395,0.14949484,1873,#1371b4
1873-08,-0.22783395,-0.37342167,0.03346629,1873,#1371b4
1873-09,-0.405255455,-0.6749305,-0.15931599,1873,#409fe2
1873-10,-0.390648695,-0.5591573,-0.06727813,1873,#409fe2
1873-11,-0.46331129000000004,-0.7671233,-0.2003429,1873,#57adea
1873-12,-0.32790573,-0.49996406,0.23634735,1873,#2b8dd3
1874-01,-0.198546265,-0.54075134,0.34029657,1874,#1371b4
1874-02,-0.438421145,-0.8042981,-0.019318933,1874,#409fe2
1874-03,-0.6729315,-1.2898091,-0.37500674,1874,#86c9f9
1874-04,-0.4370358,-0.7053562,-0.06373892,1874,#409fe2
1874-05,-0.3339913725,-0.40482718,0.2539065,1874,#2b8dd3
1874-06,-0.565847165,-0.56865865,-0.043330632,1874,#6fbcf3
1874-07,-0.16706697999999998,-0.3999933,0.03879133,1874,#1371b4
1874-08,-0.296071105,-0.39491034,0.07218125,1874,#1d7ec3
1874-09,-0.1681939372,-0.2315893,0.24629985,1874,#1371b4
1874-10,-0.47115757,-0.5944928,-0.15140852,1874,#57adea
1874-11,-0.41774489000000004,-0.71664935,-0.12323174,1874,#409fe2
1874-12,-0.31200655,-0.64996666,0.07627661,1874,#2b8dd3
1875-01,-0.571118165,-1.2549522,-0.5682158,1875,#6fbcf3
1875-02,-0.47927209,-1.1908579,-0.36759326,1875,#57adea
1875-03,-0.56430271,-1.108732,-0.360378,1875,#6fbcf3
1875-04,-0.35805591999999997,-0.8084855,-0.26144782,1875,#2b8dd3
1875-05,-0.272836225,-0.61450016,-0.10888411,1875,#1d7ec3
1875-06,-0.27996175300000004,-0.33259827,0.09725493,1875,#1d7ec3
1875-07,-0.18206007999999999,-0.2952286,0.17310894,1875,#1371b4
1875-08,-0.24648568999999998,-0.45673907,-0.02470495,1875,#1d7ec3
1875-09,-0.234278785,-0.57440645,-0.05184738,1875,#1d7ec3
1875-10,-0.2332144,-0.43392938,-0.0031956707,1875,#1d7ec3
1875-11,-0.50920546,-1.1251587,-0.5362975,1875,#57adea
1875-12,-0.57672003,-1.0682348,-0.33331227,1875,#6fbcf3
1876-01,-0.51370407,-0.96935916,-0.27788693,1876,#57adea
1876-02,-0.337398635,-0.7441928,-0.02367686,1876,#2b8dd3
1876-03,-0.36232423999999996,-0.8976286,0.067335896,1876,#2b8dd3
1876-04,-0.42427668500000004,-0.7456807,-0.1680016,1876,#409fe2
1876-05,-0.59042504,-0.9767627,-0.45530677,1876,#6fbcf3
1876-06,-0.352279045,-0.3655885,0.066787995,1876,#2b8dd3
1876-07,-0.2137274925,-0.22485532,0.17977655,1876,#1371b4
1876-08,-0.32724735,-0.4205917,0.01985155,1876,#2b8dd3
1876-09,-0.41784135,-0.4669434,-0.031658296,1876,#409fe2
1876-10,-0.29983561999999997,-0.49494848,-0.057359267,1876,#1d7ec3
1876-11,-0.60684675,-0.9965223,-0.44772506,1876,#6fbcf3
1876-12,-0.643412665,-1.3648446,-0.6434087,1876,#86c9f9
1877-01,-0.41108241,-0.84665465,-0.18698934,1877,#409fe2
1877-02,-0.20926146799999998,-0.73359764,-0.0076787686,1877,#1371b4
1877-03,-0.09135856699999999,-0.54635257,0.19062784,1877,#0a619f
1877-04,-0.34591715,-0.7440474,-0.18722676,1877,#2b8dd3
1877-05,-0.41127661000000004,-0.57083994,-0.053000346,1877,#409fe2
1877-06,-0.138199872,-0.21098506,0.2598172,1877,#0a619f
1877-07,-0.016253213000000002,-0.11048749,0.29090124,1877,#04538c
1877-08,0.210730517,0.16290651,0.5908751,1877,#ffebeb
1877-09,0.107581218,-0.03834491,0.36738724,1877,#ffebeb
1877-10,0.113316531,-0.16496426,0.25401694,1877,#ffebeb
1877-11,0.033977828,-0.19848996,0.36100596,1877,#ffebeb
1877-12,-0.05556290700000001,-0.5271707,0.21659648,1877,#04538c
1878-01,-0.06979711,-0.64011014,-0.019988468,1878,#04538c
1878-02,0.22940955000000002,-0.07342269,0.63449466,1878,#ffebeb
1878-03,0.36132927,0.17035258,0.9762792,1878,#ffdfdf
1878-04,0.188537365,0.0042340932,0.49823833,1878,#ffebeb
1878-05,-0.12240136000000001,-0.34650448,0.16608788,1878,#0a619f
1878-06,0.010291129999999982,0.16527744,0.59436405,1878,#ffebeb
1878-07,-0.07723640000000001,-0.11643837,0.30176398,1878,#0a619f
1878-08,-0.046553352000000006,-0.07156962,0.3024558,1878,#04538c
